"","dose","beat","qNet","dvdtmax","vmax","vrest","APD50","APD90","max_dv","camax","carest","CaTD50","CaTD90","EADs","noDepols","noRepols","drug","sample"
"41",4,764,35.5816646357064,72.6406172043589,41.8891754304538,-88.0268338507339,376,483,-0.212537102717405,0.000227550551473485,7.40179158336277e-05,384,818,0,0,0,"bepridil",5
"42",5,886,32.6677430507513,72.5501775472827,41.9244665037432,-88.0291422430997,392,509,-0.201645643387049,0.000223959901506701,7.36949865944241e-05,398,837,0,0,0,"bepridil",5
"43",6,986,30.4198547216867,72.4541390423996,41.9296473208409,-88.0312339698172,406,531,-0.185144125940822,0.000220623448886419,7.33814066677131e-05,411,854,0,0,0,"bepridil",5
"44",7,931,28.6487408487421,72.3530599847085,41.9117984323186,-88.0331768540657,418,551,-0.167525038106139,0.000217552279806071,7.30826364626639e-05,422,869,0,0,0,"bepridil",5
"45",8,976,27.236035596418,72.247919745087,41.8779438678454,-88.034975057827,429,569,-0.15346267793463,0.00021473244230405,7.28006421237615e-05,433,884,0,0,0,"bepridil",5
"46",9,999,26.0987977433692,72.1389187366983,41.8307097104566,-88.0366724758286,439,585,-0.141950912310139,0.000212152886441742,7.25360395067094e-05,444,897,0,0,0,"bepridil",5
"47",10,960,25.1812509092734,72.0265246688959,41.7753641868151,-88.038262472593,448,600,-0.132302077926589,0.00020978247258044,7.22879096219598e-05,454,909,0,0,0,"bepridil",5
"48",15,955,22.7044129470828,71.4258463510809,41.4065257443297,-88.0451702224034,483,659,-0.100122196024108,0.000200450361711318,7.12609356181603e-05,498,960,0,0,0,"bepridil",5
"49",20,781,22.1846251557894,70.7743816465256,40.9656741178699,-88.0509291247823,509,701,-0.0823322401618773,0.000194013526195428,7.05024922075547e-05,531,997,0,0,0,"bepridil",5
"50",25,995,22.6269544661844,70.0867698474734,40.499681556917,-88.0559742276342,530,731,-0.0717910836252515,0.000189403332080316,6.99285707288558e-05,554,1024,0,0,0,"bepridil",5
"51",1,939,54.1775275854353,72.7812917840498,41.505056804209,-88.0193161381753,295,365,-0.290425112935173,0.000235001520716454,7.45465889520962e-05,332,757,0,0,0,"bepridil",6
