Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa,drug,cnet,dose
137,43.158,-88.0005,264.514,444.73,355.92,319.47,125.26,882.86,439.17,133.943,202.632,68.6813,438.13,0.0272505,0,0,137,0.542,0.966512,0.833964,0.590157,0.511702,0.765983,1.46394,0.985041,1.14621,chlorpromazine,34.5,2
140,41.8841,-88.1223,272.157,296.45,235.79,215.46,80.99,686.2,275.6,274.184,361.273,87.08,389.75,0.0488733,0,0,140,1.33615,1.45013,1.14727,1.13885,1.49803,0.562476,0.611416,1.22316,0.932913,chlorpromazine,34.5,2
142,43.8319,-88.0031,263.876,326.43,267.51,245.41,81.02,703.51,293.28,258.897,338.386,79.4819,377.08,0.0421005,0,0,142,0.529911,1.08834,0.656613,0.900076,1.38112,1.03726,0.986852,1.05653,1.37866,chlorpromazine,34.5,2
143,42.5075,-88.0439,265.389,266.36,225.43,209.06,57.3,719.29,298.94,222.523,301.267,78.7371,452.93,0.0550004,0,0,143,0.939201,1.24489,1.00188,1.37089,0.857438,1.37638,0.901543,1.19844,1.19602,chlorpromazine,34.5,2
145,41.4918,-88.0278,263.875,307.03,246.65,228.53,78.5,738.65,319.08,202.868,276.678,73.8033,431.62,0.0580268,0,0,145,0.634499,0.816889,1.40207,1.09951,0.974509,0.546545,1.27526,1.01236,1.41083,chlorpromazine,34.5,2
154,43.7965,-88.1027,271.799,347.97,279.84,253.06,94.91,841.27,393.2,137.869,209.585,71.7072,493.3,0.0491069,0,0,154,1.21882,0.908848,0.590631,0.707546,1.26733,1.00264,1.07231,1.27178,1.04328,chlorpromazine,34.5,2
155,38.4994,-87.7409,246.364,369.74,298.2,264.57,105.17,844.85,395.36,140.254,215.093,74.8304,475.11,0.054769,0,0,155,1.12606,0.915609,0.856054,0.544246,1.05866,1.17869,0.969928,0.513535,0.621268,chlorpromazine,34.5,2
156,43.9924,-88.0532,266.884,345.36,283.73,256.17,89.19,881.71,421.37,115.76,184.646,68.8786,536.35,0.0407479,0,0,156,1.14509,1.18263,0.536778,0.733882,1.39416,1.36801,1.18731,1.15181,0.954897,chlorpromazine,34.5,2
157,42.9093,-88.0161,263.808,285.27,236.85,218.26,67.01,811.83,366.51,140.195,209.01,68.8079,526.56,0.0615849,0,0,157,0.884287,0.798471,0.81481,1.02571,1.49174,1.27424,1.37752,1.08416,1.27953,chlorpromazine,34.5,2
159,44.5789,-87.9628,261.572,425.88,343.08,308.94,116.94,791.98,362.45,199.995,275.412,75.4069,366.1,0.00844943,0,0,159,1.31269,1.4872,0.597698,0.698641,0.676277,0.836091,1.19468,0.935982,1.24714,chlorpromazine,34.5,2
164,43.6232,-88.0352,264.372,354.77,288.57,265.3,89.47,800.71,370.23,163.917,234.483,70.5575,445.94,0.0243481,0,0,164,1.46776,1.42815,0.944031,1.0516,0.655054,0.618485,1.4498,1.06147,1.39417,chlorpromazine,34.5,2
166,41.6428,-88.0059,263.322,325.64,267.03,245.49,80.15,754.03,330.35,198.55,274.071,75.5123,428.39,0.0422989,0,0,166,0.801735,1.2162,1.26451,1.00746,0.990856,0.843837,1.11677,1.03,1.21442,chlorpromazine,34.5,2
169,41.2955,-88.0537,269.293,252.29,202.33,185.85,66.44,661.04,256.34,300.062,387.952,87.8826,408.75,0.08318,0,0,169,0.728838,0.650352,1.02423,1.11248,1.44207,0.851689,0.602387,1.08968,0.978525,chlorpromazine,34.5,2
170,41.9374,-88.1177,275.044,308.78,247.5,225.44,83.34,674.16,268.12,298.312,387.749,89.4279,365.38,0.0713733,0,0,170,1.26779,0.663908,0.937635,0.85781,0.665655,0.851215,0.556606,1.28889,0.917647,chlorpromazine,34.5,2
171,43.1797,-88.0863,270.004,263.52,217.08,200.09,63.43,683.86,272.77,269.461,353.952,84.4838,420.34,0.0575616,0,0,171,0.911963,1.27445,0.761704,1.31924,1.3809,0.991414,0.683851,1.25729,1.09896,chlorpromazine,34.5,2
174,39.3552,-87.8011,250.211,261.97,213.41,195.59,66.38,697.62,280.4,247.656,331.936,84.271,435.65,0.0648731,0,0,174,0.60472,1.22485,1.07159,1.25103,0.905262,0.903424,0.739028,0.614474,0.816838,chlorpromazine,34.5,2
175,39.6666,-87.9399,259.794,211.64,169.34,156.75,54.89,708,281.37,217.829,297.882,80.0472,496.36,0.0956406,0,0,175,0.718625,0.509152,1.21499,1.44731,1.02815,0.740624,0.801624,0.800136,0.959606,chlorpromazine,34.5,2
176,41.4942,-87.6774,242.197,324.53,266.14,244.56,79.97,658.65,265.43,323.095,402.54,79.4401,334.12,0.051449,0,0,176,0.570127,0.786326,0.850778,0.877168,1.15714,1.05983,1.25452,0.532437,1.49882,chlorpromazine,34.5,2
