# Drug name and concentration: 7: Diltiazem at 892.5μM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# GNa:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   EC50/IC50: Infinity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Hill Coefficient: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# GNaL:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   EC50/IC50: Infinity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Hill Coefficient: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Gto:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   EC50/IC50: Infinity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Hill Coefficient: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# GKr:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   EC50/IC50: 6569,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Hill Coefficient: 0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# GKs:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   EC50/IC50: Infinity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Hill Coefficient: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# GK1:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   EC50/IC50: Infinity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Hill Coefficient: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Gncx:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   EC50/IC50: Infinity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Hill Coefficient: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Pnak:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   EC50/IC50: Infinity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Hill Coefficient: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# PCa:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   EC50/IC50: 112,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Hill Coefficient: 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Stimulus Phase: 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Strength: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Duration: 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Frequency: 2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Cycles: 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Stimulus Phase: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Strength: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Duration: 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Frequency: 2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Cycles: 150,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Ca_o: 1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# K_o: 5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Na_o: 140,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa,cnet,dose
65,39.5217,-88.2114,280.898,358.72,283.88,253.2,105.52,1084.73,512.54,43.2073,99.6467,56.4365,726.01,0.0513723,0,0,65,0.597041,1.19478,1.34353,0.742339,1.41369,0.700464,1.28035,1.4744,1.0796,,7
67,36.4683,-87.9055,255.651,279.62,221.36,191,88.62,1040.6,460.25,41.9404,101.538,59.5963,760.98,0.0875421,0,0,67,0.655703,0.569071,0.931223,0.645672,0.811354,1.41718,0.94074,0.609107,0.610051,,7
71,38.1387,-88.1058,271.463,347.56,278.7,242.77,104.79,1011.2,482.57,59.623,127.692,68.0602,663.64,0.0568658,0,0,71,0.980899,1.12461,1.49458,0.614746,1.42961,1.18317,0.61743,1.10755,0.685777,,7
72,38.7968,-88.0489,268.315,182.88,137.34,119.31,63.57,902.07,375.16,66.2901,135.676,69.3752,719.19,0.0991507,0,1,72,1.48705,0.689768,0.575912,1.28468,1.11181,1.06974,0.553596,0.883968,0.863387,,7
73,39.3787,-88.1725,277.654,322.62,257.7,225.19,97.43,1010.49,475.23,56.2482,124.687,68.43,687.87,0.0600791,0,0,73,1.07437,1.17653,1.11786,0.812574,0.797394,1.06731,0.563166,1.3174,0.592015,,7
75,38.0829,-88.0922,268.813,334.24,275.74,244.51,89.73,1019.57,483.47,57.6993,120.659,62.9543,685.33,0.0619256,0,0,75,1.15215,0.975055,1.42687,0.691454,0.954387,1.44622,0.898104,1.09924,1.06717,,7
76,39.4198,-88.0684,269.024,256.93,198.32,176.43,80.5,1003.84,439.97,48.5781,106.605,58.0244,746.91,0.0739482,0,0,76,1.48942,1.01426,0.555402,1.18462,0.915158,0.630117,1.1537,0.958074,1.26603,,7
78,38.3916,-87.9481,259.043,325.9,263.6,234.93,90.97,1062.95,492.6,44.8045,101.484,56.6777,737.05,0.0496573,0,0,78,1.296,1.2811,0.619966,0.841006,1.33993,1.01765,1.35768,0.768192,1.09349,,7
81,37.7749,-88.0324,265.139,253.17,203.75,180.75,72.42,932.99,414.63,71.2133,137.24,66.0207,679.82,0.079433,0,0,81,0.616233,0.87881,1.29598,1.05079,0.518964,1.26965,0.789057,0.931004,1.30285,,7
82,39.5202,-88.0631,269.09,338.24,265.47,234.47,103.77,1016.95,479.45,57.4639,120.214,62.7445,678.71,0.058442,0,0,82,1.4347,1.00624,0.548337,0.76774,0.856035,0.774059,0.930421,0.96903,1.20234,,7
84,40.046,-88.191,278.374,262.54,212.28,189.92,72.62,932.71,422.48,74.9803,142.969,67.9805,670.17,0.0647314,0,0,84,1.0445,1.29363,1.13852,1.27299,0.703027,1.04413,0.696841,1.47964,1.47594,,7
85,38.0338,-88.1204,275.561,286.36,210.14,180.69,105.67,1020.21,449.04,44.8083,105.385,60.5734,733.85,0.0908512,0,0,85,0.508757,0.629764,1.43185,0.777197,0.617295,0.578645,0.85176,1.04329,0.663449,,7
86,38.1987,-87.9873,262.103,224.26,177.4,158.38,65.88,1006.31,428.55,44.2019,99.9821,55.7788,782.05,0.0777427,0,0,86,0.845667,1.06764,0.800064,1.37878,0.795554,0.931672,1.31395,0.817599,1.25278,,7
88,39.2891,-88.1786,277.729,357.04,286.16,253.67,103.37,1029.51,493.31,57.2431,118.376,61.1283,672.47,0.0599798,0,0,88,0.786113,0.917423,1.30085,0.609305,1.40175,1.02385,1.03424,1.39202,1.39132,,7
90,39.2672,-88.2091,282.572,164.66,120.53,104.86,59.8,936.21,379.36,51.951,114.401,62.4446,771.55,0.110894,0,1,90,1.16236,0.539142,1.23116,1.43133,0.638485,0.856884,0.73382,1.37272,1.01218,,7
91,39.4567,-88.1253,273.434,402.86,311.05,274.93,127.93,1031.54,507.56,61.9289,126.175,64.2399,628.68,0.0426622,0,0,91,0.664806,1.15245,0.942913,0.65246,0.834106,0.518517,0.91338,1.10404,1.3622,,7
92,38.9331,-88.0822,269.451,357.09,289.14,255.05,102.04,1072.32,509.08,46.4269,104.537,58.1064,715.23,0.0683148,0,0,92,0.925635,0.69504,0.69203,0.571745,0.744865,1.22244,1.17303,1.01389,1.02304,,7
95,37.5913,-88.0105,262.635,262.4,214.3,192.39,70.01,1000.8,443.65,51.0677,107.347,56.2772,738.4,0.0791989,0,0,95,1.36897,0.779578,1.22386,0.992425,1.04059,1.33547,1.40675,0.897374,1.4849,,7
96,37.1387,-87.9882,262.56,405.47,314.78,277.25,128.22,1027,502.77,62.1898,127.101,64.9055,621.53,0.0448034,0,0,96,0.952975,1.14575,1.48602,0.620709,0.74195,0.549433,0.889014,0.777914,1.06883,,7
97,37.182,-87.9981,263.263,199.3,152.79,132.15,67.15,887.1,373.37,75.0142,146.589,71.5627,687.8,0.0927129,0,0,97,0.544263,0.848014,1.33367,1.19047,1.35112,1.20634,0.525871,0.807098,0.821614,,7
